Portion description,count
1 cubic inch,374
1 surface inch,166
1 cup (8 fl oz),103
1 can (12 fl oz),38
1 bottle (16.9 fl oz or 500 ml),35
Guideline amount per slice of bread/roll,34
1 6 oz container,30
1 sharing/movie theater size,30
1 bottle (20 fl oz),28
1 thin,26
Guideline amount per cup of hot cereal,25
1 bottle (12 fl oz),20
1 can or bottle (12 fl oz),20
1 5.3 oz container,17
1 juice box/pouch (6.75 fl oz),17
1 can or bottle (16 fl oz),17
1 4 oz container,14
1 Bagel Thin,14
1 fun size box (4.23 fl oz),14
1 bottle (8 fl oz),12
"1 surface inch, Belgian waffle",12
1 Keurig cup,10
"1/4 cup, raw (equivalent to 1 large egg) yields",9
Guideline amount per cup of vegetable,9
1 can or bottle (16.9 fl oz),9
1 can or bottle (20 fl oz),9
1 shoestring,8
1 footlong,7
1 bottle (4 fl oz),7
1 foot long hot dog bun,6
1 Snapple bottle (16 fl oz),6
1 can (8 fl oz),6
1 bottle (32 fl oz),6
"1 cubic inch, cooked",5
1 can (15 oz),5
Topping from 1 piece,4
Topping per surface inch of pizza,4
1 bottle (10 fl oz),4
1 espresso cup (2 fl oz),4
1 can (16 fl oz),4
1 can (24 fl oz),4
1 can (5 oz) yields,3
Guideline amount per piece of sushi,3
1 pretzel chip/crisp/thin,3
1 bottle (16 fl oz),3
1 bottle/can (11 fl oz),3
1 can (11 fl oz),3
1 can (20 fl oz),3
1 individual container (.5 fl oz),2
1 wedge (1.33 oz),2
"1 slice, cooked (approx .8 oz, raw)",2
1 can (7.5 oz),2
"1 cubic inch, boneless, cooked",2
1 porcupine ball with sauce,2
"1 packet (1 oz), dry, yields",2
1 cannelloni,2
Juice of 1 wedge or slice,2
1 bottle/can (6.5 fl oz),2
1 bottle/can (9.5 fl oz),2
1 bottle/can (15 fl oz),2
1 bottle (6.75 fl oz),2
1 bottle (40 fl oz),2
1 bottle (14 fl oz),2
1 can (32 fl oz),2
1 can (8.4 fl oz),2
1 can (16.9 fl oz),2
1 can or bottle (8 fl oz),2
1 can or bottle (24 fl oz),2
1 can or bottle (32 fl oz),2
1 package (4.5 oz),1
1 package (7 oz),1
1 package (6 oz),1
1 package (8 oz),1
5 oz package,1
1 jar (5 oz),1
1 can (4.75 oz),1
1 jar (2.5 oz),1
1 foot,1
1 slice (15 per 8 oz package),1
"1 slice (4-3/8"" dia x 1/10"" thick) (1 oz)",1
"1 slice (4-1/8"" dia x 1/8"" thick) (10 per 8 oz package)",1
1 can (5.5 oz),1
Guideline amount per cup of french fries,1
1 small can (7 oz),1
1 medium can (15 oz),1
1 Jack-in-the-Box Bowl,1
1 Banquet's Cookin' Bag (4.5 oz),1
1 meringue,1
1 regular slice (1 oz),1
1 can (13 oz),1
"1 box (3.2 oz), dry, yields",1
1 small (10 per 12 oz package),1
1 large (6 per 12 oz package),1
1 Pizza Hut stick,1
1 Papa John stick,1
1 sandwich thin,1
1 cubic inch cornbread,1
1 Hostess package of 5 mini muffins (2 oz),1
1 Little Debbie package (twin wrapped),1
1 Oreo thin,1
1 small or thin (include Famous Brand Chocolate Wafers),1
"1 individual package (2 oz package containing 2 3"" bars)",1
1 individual box (2 oz),1
1 Keebler Fudge Strips,1
1 Kashi TLC cracker,1
1 package (6 oz) yields,1
1 package (5.1 oz) yields,1
1 Jimmy Dean Flapstick,1
1 miniature box (.5 oz),1
1 small box (1.5 oz),1
1 linear inch,1
1 Nutri System packet (1 oz),1
1 package (3 oz) yields,1
1 can (6 fl oz),1
1 Kool-Aid Bursts bottle (6.75 fl oz),1
1 tablespoon dry yields 8 fl oz,1
1 ice cube,1
1 cup ice,1
1 bottle (16.9 fl oz) filled with tap water,1
1 bottle (24 fl oz) filled with tap water,1
1 bottle (1 liter),1
1 bottle (11 fl oz),1
1 single serving box (11 fl oz),1
1 single serving box (17 fl oz),1
1 single serving box (8.5 fl oz),1
1 bottle (14 fl oz) Myoplex,1
1 bottle (20 fl oz) Monster Milk,1
1 single serving box (17 fl oz) Myoplex,1
1 single serving box (11 fl oz) Myoplex Lite,1
1 can (12 oz),1
1 serving Monster Milk (2 scoops),1
1 can (8.3 fl oz),1
1 bottle (13.5 fl oz),1
1 bottle (22 fl oz),1
1 bottle (4 oz),1
