unit,count
cup,6654
tablespoon,3135
teaspoon,1902
slice,504
fluid_ounce,427
pinch,237
bunch,163
dash,131
head,110
drop,85
piece,69
sprig,69
packet,57
leaf,55
package,50
link,39
sheet,34
loaf,32
scoop,31
stalk,31
recipe,28
cube,27
splash,27
strip,26
stick,22
ear,21
envelope,17
pod,16
clove,15
rack,14
inch,13
bulb,12
spear,11
ball,9
wedge,9
part,7
square,7
twist,7
pkg,6
rib,6
bag,5
box,5
thin,4
can,3
grind,3
block,2
foot,2
shot,2
tub,2
batch,1
bottle,1
canister,1
chunk,1
container,1
handful,1
jar,1
metric_ton,1
quarts-size,1
ring,1
slab,1
stem,1
wheel,1
yard,1
