WWEIA Category description,count
Pizza,975
"Chicken, whole pieces",942
Fish,699
Yeast breads,687
Meat mixed dishes,651
Coffee,575
"Pasta mixed dishes, excludes macaroni and cheese",540
Cookies and brownies,481
Eggs and omelets,463
Other vegetables and combinations,460
Cakes and pies,435
Nuts and seeds,411
Cheese,371
Pretzels/snack mix,370
Poultry mixed dishes,359
Tea,343
"Pancakes, waffles, French toast",305
"Crackers, excludes saltines",304
"White potatoes, baked or boiled",290
"Doughnuts, sweet rolls, pastries",271
Rice mixed dishes,270
Deli and cured meat sandwiches,255
Burritos and tacos,244
Fruit drinks,235
"Turkey, duck, other poultry",232
Liquor and cocktails,226
"Beef, excludes ground",224
French fries and other fried white potatoes,214
"Biscuits, muffins, quick breads",211
Salad dressings and vegetable oils,206
Ice cream and frozen dairy desserts,205
Seafood mixed dishes,204
Cold cuts and cured meats,202
"Tortilla, corn, other chips",198
Potato chips,194
Egg/breakfast sandwiches,185
"Beans, peas, legumes",183
Candy containing chocolate,179
Other Mexican mixed dishes,176
Popcorn,173
Stir-fry and soy-based sauce mixtures,172
Sausages,162
Rolls and buns,160
"Dips, gravies, other sauces",153
Soft drinks,150
Diet soft drinks,150
Shellfish,147
"Soups, broth-based",143
Mashed potatoes and white potato mixtures,135
Pork,133
Burgers,126
Candy not containing chocolate,125
Oatmeal,124
Smoothies and grain drinks,120
Bagels and English muffins,119
"Jams, syrups, toppings",119
Turnovers and other grain-based items,114
Other fruits and fruit salads,113
Mustard and other condiments,112
Other dark green vegetables,108
Sport and energy drinks,102
Grits and other cooked cereals,99
Not included in a food category,97
Chicken fillet sandwiches,95
Other fruit juice,94
Carrots,94
Bacon,93
Seafood sandwiches,93
Other starchy vegetables,93
"Olives, pickles, pickled vegetables",93
Fried rice and lo/chow mein,88
Cereal bars,86
Other red and orange vegetables,83
Cream and cream substitutes,82
String beans,79
Corn,79
"Yogurt, regular",77
Vegetable dishes,77
"Egg rolls, dumplings, sushi",77
Meat and BBQ sandwiches,76
Plant-based milk,74
Baby food: vegetables,70
"Yogurt, Greek",69
Nutritional beverages,68
Peanut butter and jelly sandwiches,66
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",66
Mayonnaise,66
Baby food: fruit,65
Fried vegetables,65
Diet sport and energy drinks,65
Pudding,64
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",64
Frankfurter sandwiches,63
Rice,62
Citrus juice,62
Broccoli,62
"Gelatins, ices, sorbets",60
Baby food: mixtures,58
"Chicken patties, nuggets and tenders",58
Butter and animal fats,56
Soy and meat-alternative products,56
"Pasta, noodles, cooked grains",56
Dried fruits,55
"Bean, pea, legume dishes",54
Protein and nutritional powders,54
"Formula, prepared from powder",51
Milk shakes and other dairy drinks,49
"Lamb, goat, game",49
Tomato-based condiments,49
Lettuce and lettuce salads,48
"Soups, cream-based",46
Margarine,46
Liver and organ meats,44
Citrus fruits,44
Sugar substitutes,44
"Flavored milk, reduced fat",43
Wine,43
Baby food: cereals,42
"Cream cheese, sour cream, whipped cream",38
Cottage/ricotta cheese,38
"Coleslaw, non-lettuce salads",38
Vegetable sandwiches/burgers,38
Macaroni and cheese,37
Nachos,35
Sugars and honey,35
"Milk, whole",34
"Flavored milk, nonfat",34
Vegetable juice,34
Baby food: meat and dinners,33
Baby food: snacks and sweets,33
Melons,33
Spinach,33
Ramen and Asian broth-based soups,32
Beer,32
Tortillas,31
Frankfurters,30
Blueberries and other berries,30
Nutrition bars,29
Cabbage,29
Other diet drinks,29
Cheese sandwiches,28
Apples,27
Peaches and nectarines,27
"Flavored milk, lowfat",26
Ground beef,26
Soy-based condiments,26
Onions,26
Saltine crackers,24
Vegetables on a sandwich,24
Pineapple,23
Tomatoes,23
Flavored or carbonated water,23
"Pasta sauces, tomato-based",22
Pears,22
"Milk, reduced fat",21
"Milk, nonfat",21
Mango and papaya,19
"Formula, ready-to-feed",18
Baby juice,18
Apple juice,16
Plant-based yogurt,15
"Milk, lowfat",14
"Flavored milk, whole",14
Tap water,11
Bananas,9
Bottled water,9
Baby food: yogurt,8
Strawberries,8
Enhanced water,8
Human milk,3
Grapes,3
Baby water,3
